序号,饮料类商品,标签
1,100g*5瓶益力多,正常
2,13g雀巢咖啡1+2特浓,滞销
3,145ml旺仔牛奶盒装,正常
4,145ml旺仔牛奶罐装,滞销
5,150g健能酸奶原味,滞销
6,180ml雀巢咖啡罐装,滞销
7,205g伊利安慕希原味,正常
8,205ml安慕希蓝莓味,滞销
9,250ML东鹏特饮,滞销
10,250ml燕塘原味酸奶,正常
11,250ml燕塘甜牛奶,正常
12,250ml燕塘红枣牛奶,正常
13,250ml王老吉盒装,滞销
14,250ml红牛,正常
15,250ml统一麦香奶茶,滞销
16,250ml维他原味豆奶,正常
17,250ml维他奶低糖原味,滞销
18,250ml维他奶巧克力味,正常
19,250ml维他奶黑豆奶饮品,滞销
20,250ml维他柠檬茶,正常
21,250ml维他椰子植物蛋白饮料,滞销
22,250ml维他椰子植物蛋白饮料9374,滞销
23,250ml香满楼纯牛奶,滞销
24,268ml雀巢咖啡丝滑拿铁,正常
25,330ml伊利畅意乳酸菌原味,正常
26,450ml美汁源果粒橙,正常
27,480ml小茗同学冷泡溜溜哒茶,滞销
28,480ml小茗同学冷泡青柠红茶,滞销
29,500ML宝矿力,滞销
30,500ml农夫果园 (芒果+菠萝+番石榴),滞销
31,500ml加多宝,正常
32,500ml康师傅冰糖雪梨,滞销
33,500ml恒大冰泉矿泉水,滞销
34,500ml统一冰糖雪梨,滞销
35,500ml统一阿萨姆奶茶,正常
36,500ml营养快线原味,滞销
37,600ml可口可乐,正常
38,600ml脉动青柠,正常
39,600ml雪碧,正常
40,80g香飘飘椰果奶茶原味,滞销
41,80g香飘飘椰果奶茶麦香味,滞销
42,东鹏特饮,畅销
43,乐虎,滞销
44,乐虎（380ml）,滞销
45,伊利优酸乳,正常
46,伊利纯牛奶,正常
47,优益C活菌型乳酸菌饮品,滞销
48,健能酸奶,滞销
49,农夫果园,滞销
50,冰糖雪梨,正常
51,冰红茶（罐）,滞销
52,加多宝,滞销
53,可乐可乐,滞销
54,可口可乐330ml,正常
55,可口可乐330ml（罐）,滞销
56,可口可乐最新款,正常
57,可口可乐（500ml）,正常
58,商品1,滞销
59,商品2,滞销
60,天地一号,滞销
61,娃哈哈红枣酸奶,滞销
62,安慕希酸奶,滞销
63,小茗同学,滞销
64,小茗同学冷泡茶（乳酸菌味）,滞销
65,尖叫,滞销
66,康师傅矿泉水,滞销
67,怡宝,正常
68,怡宝矿泉水,滞销
69,怡宝纯净水,畅销
70,拿铁咖啡（统一）,滞销
71,旺仔牛奶,滞销
72,旺仔牛奶145ml,滞销
73,果粒橙,正常
74,椰树牌椰汁,滞销
75,燕塘原味酸奶,滞销
76,燕塘甜牛奶,滞销
77,燕塘红枣牛奶,滞销
78,王老吉（500ml）,正常
79,王老吉（罐）,正常
80,珠江纯生啤酒,滞销
81,百事可乐330ml,滞销
82,百事可乐500ml,滞销
83,益力多100g*5瓶,滞销
84,红牛,正常
85,经典奶茶,滞销
86,统一冰红茶,正常
87,统一绿茶,正常
88,统一阿萨姆奶茶,滞销
89,维他原味豆奶,滞销
90,维他奶,正常
91,维他奶黑豆奶饮品,滞销
92,维他奶（巧克力味）,滞销
93,维他柠檬茶,正常
94,维他柠檬茶330ml（罐）,滞销
95,美年达（罐）,滞销
96,美汁源果粒橙,滞销
97,脉动,正常
98,脉动（椰子菠萝口味）,滞销
99,脉动（青柠）,滞销
100,芦荟汁,滞销
101,芬达330ml,正常
102,茉莉蜜茶,正常
103,营养快线,正常
104,银鹭八宝粥,正常
105,阿萨姆奶茶,正常
106,阿萨姆煎茶奶绿,滞销
107,雀巢咖啡,滞销
108,雪力矿泉水,滞销
109,雪碧,滞销
110,雪碧330ml,正常
111,雪碧最新款,正常
112,雪碧（500ml）,正常
