序号,饮料类商品,标签
1,100g*5瓶益力多,正常
2,13g雀巢咖啡1+2特浓,滞销
3,145ml旺仔牛奶盒装,正常
4,145ml旺仔牛奶罐装,滞销
5,150g健能酸奶原味,滞销
6,180ml雀巢咖啡罐装,滞销
7,205g伊利安慕希原味,正常
8,205ml安慕希蓝莓味,滞销
9,250ML东鹏特饮,滞销
10,250ml燕塘原味酸奶,正常
11,250ml燕塘甜牛奶,正常
12,250ml燕塘红枣牛奶,正常
13,250ml王老吉盒装,滞销
14,250ml红牛,正常
15,250ml统一麦香奶茶,滞销
16,250ml维他原味豆奶,正常
17,250ml维他奶低糖原味,滞销
18,250ml维他奶巧克力味,正常
19,250ml维他奶黑豆奶饮品,滞销
20,250ml维他柠檬茶,正常
21,250ml维他椰子植物蛋白饮料,滞销
22,250ml维他椰子植物蛋白饮料9374,滞销
23,250ml香满楼纯牛奶,滞销
24,268ml雀巢咖啡丝滑拿铁,正常
25,330ml伊利畅意乳酸菌原味,正常
26,330ml伊利畅意乳酸菌草莓味,滞销
27,340ml蒙牛优益C乳酸菌,滞销
28,450ml美汁源果粒橙,正常
29,480ml小茗同学冷泡溜溜哒茶,滞销
30,480ml小茗同学冷泡青柠红茶,正常
31,500ML宝矿力,滞销
32,500ml农夫果园 (芒果+菠萝+番石榴),滞销
33,500ml加多宝,正常
34,500ml康师傅冰糖雪梨,滞销
35,500ml恒大冰泉矿泉水,滞销
36,500ml统一冰糖雪梨,滞销
37,500ml统一阿萨姆奶茶,正常
38,500ml营养快线原味,滞销
39,600ml可口可乐,正常
40,600ml脉动青柠,正常
41,600ml雪碧,正常
42,80g香飘飘椰果奶茶原味,滞销
43,80g香飘飘椰果奶茶麦香味,滞销
44,东鹏特饮,畅销
45,乐虎,滞销
46,乐虎（380ml）,滞销
47,伊利优酸乳,正常
48,伊利纯牛奶,正常
49,优益C活菌型乳酸菌饮品,滞销
50,健能酸奶,滞销
51,农夫果园,滞销
52,冰糖雪梨,正常
53,冰红茶（罐）,滞销
54,加多宝,滞销
55,可乐可乐,滞销
56,可口可乐330ml,正常
57,可口可乐330ml（罐）,滞销
58,可口可乐最新款,正常
59,可口可乐（500ml）,正常
60,商品1,滞销
61,商品14,滞销
62,商品2,滞销
63,天地一号,滞销
64,娃哈哈红枣酸奶,滞销
65,安慕希酸奶,滞销
66,小茗同学,滞销
67,小茗同学冷泡茶（乳酸菌味）,滞销
68,小茗同学（青柠红茶）,滞销
69,尖叫,滞销
70,康师傅矿泉水,滞销
71,怡宝,正常
72,怡宝矿泉水,滞销
73,怡宝纯净水,畅销
74,拿铁咖啡（统一）,滞销
75,旺仔牛奶,滞销
76,旺仔牛奶145ml,滞销
77,果粒橙,正常
78,椰树牌椰汁,滞销
79,燕塘原味酸奶,滞销
80,燕塘甜牛奶,滞销
81,燕塘红枣牛奶,滞销
82,王老吉（500ml）,正常
83,王老吉（罐）,正常
84,珠江纯生啤酒,滞销
85,百事可乐330ml,滞销
86,百事可乐500ml,正常
87,益力多100g*5瓶,滞销
88,红牛,正常
89,经典奶茶,滞销
90,统一冰红茶,正常
91,统一绿茶,正常
92,统一阿萨姆奶茶,滞销
93,维他原味豆奶,滞销
94,维他奶,正常
95,维他奶（巧克力味）,滞销
96,维他柠檬茶,正常
97,维他柠檬茶330ml（罐）,滞销
98,美年达（罐）,滞销
99,美汁源果粒橙,滞销
100,脉动,畅销
101,脉动（椰子菠萝口味）,滞销
102,脉动（青柠）,滞销
103,芦荟汁,滞销
104,芬达330ml,正常
105,茉莉蜜茶,滞销
106,营养快线,正常
107,银鹭八宝粥,正常
108,阿萨姆奶茶,畅销
109,阿萨姆煎茶奶绿,滞销
110,雀巢咖啡,滞销
111,雪力矿泉水,滞销
112,雪碧,滞销
113,雪碧330ml,正常
114,雪碧最新款,正常
115,雪碧（500ml）,正常
