序号,饮料类商品,标签
1,100g*5瓶益力多,正常
2,13g雀巢咖啡1+2特浓,滞销
3,145ml旺仔牛奶盒装,正常
4,145ml旺仔牛奶罐装,滞销
5,150g健能酸奶原味,正常
6,180ml雀巢咖啡罐装,滞销
7,205g伊利安慕希原味,正常
8,205ml安慕希蓝莓味,滞销
9,250ML东鹏特饮,正常
10,250ml燕塘原味酸奶,正常
11,250ml燕塘甜牛奶,正常
12,250ml燕塘红枣牛奶,正常
13,250ml王老吉盒装,滞销
14,250ml红牛,正常
15,250ml统一麦香奶茶,正常
16,250ml维他原味豆奶,正常
17,250ml维他奶低糖原味,正常
18,250ml维他奶巧克力味,正常
19,250ml维他奶黑豆奶饮品,滞销
20,250ml维他柠檬茶,正常
21,250ml维他椰子味豆奶7716,滞销
22,250ml维他椰子植物蛋白饮料,滞销
23,250ml维他椰子植物蛋白饮料9374,滞销
24,268ml雀巢咖啡丝滑拿铁,正常
25,330ml伊利畅意乳酸菌原味,正常
26,330ml伊利畅意乳酸菌草莓味,滞销
27,340ml蒙牛优益C乳酸菌,滞销
28,450ml美汁源果粒橙,正常
29,480ml小茗同学冷泡溜溜哒茶,滞销
30,480ml小茗同学冷泡青柠红茶,正常
31,500ML宝矿力,滞销
32,500ml农夫果园 (芒果+菠萝+番石榴),正常
33,500ml加多宝,正常
34,500ml康师傅冰糖雪梨,滞销
35,500ml恒大冰泉矿泉水,滞销
36,500ml统一冰糖雪梨,滞销
37,500ml统一阿萨姆奶茶,正常
38,500ml营养快线原味,滞销
39,600ml可口可乐,正常
40,600ml脉动青柠,正常
41,600ml雪碧,正常
42,80g香飘飘椰果奶茶原味,滞销
43,80g香飘飘椰果奶茶麦香味,滞销
44,东鹏特饮,畅销
45,乐虎,正常
46,乐虎（380ml）,滞销
47,伊利优酸乳,正常
48,伊利纯牛奶,正常
49,优益C活菌型乳酸菌饮品,滞销
50,健能酸奶,滞销
51,农夫果园,滞销
52,冰糖雪梨,正常
53,冰红茶（罐）,滞销
54,加多宝,正常
55,可乐可乐,正常
56,可口可乐330ml,正常
57,可口可乐330ml（罐）,滞销
58,可口可乐最新款,正常
59,可口可乐（500ml）,正常
60,商品1,滞销
61,商品2,滞销
62,安慕希酸奶,滞销
63,小茗同学,滞销
64,小茗同学冷泡茶（乳酸菌味）,滞销
65,小茗同学（青柠红茶）,滞销
66,尖叫,正常
67,康师傅矿泉水,正常
68,怡宝,滞销
69,怡宝矿泉水,滞销
70,怡宝纯净水,畅销
71,拿铁咖啡（统一）,滞销
72,旺仔牛奶,正常
73,旺仔牛奶145ml,滞销
74,果粒橙,畅销
75,椰树牌椰汁,正常
76,燕塘原味酸奶,滞销
77,燕塘甜牛奶,正常
78,燕塘红枣牛奶,正常
79,王老吉（500ml）,正常
80,王老吉（罐）,正常
81,珠江纯生啤酒,滞销
82,百事可乐330ml,滞销
83,百事可乐500ml,滞销
84,益力多100g*5瓶,滞销
85,红牛,正常
86,经典奶茶,滞销
87,统一冰红茶,畅销
88,统一绿茶,畅销
89,统一阿萨姆奶茶,正常
90,维他原味豆奶,正常
91,维他奶,正常
92,维他奶黑豆奶饮品,滞销
93,维他奶（巧克力味）,正常
94,维他柠檬茶,正常
95,维他柠檬茶330ml（罐）,滞销
96,美年达（罐）,正常
97,美汁源果粒橙,滞销
98,脉动,畅销
99,脉动（椰子菠萝口味）,滞销
100,脉动（青柠）,正常
101,芦荟汁,正常
102,芬达330ml,正常
103,茉莉蜜茶,正常
104,营养快线,畅销
105,银鹭八宝粥,正常
106,阿萨姆奶茶,畅销
107,阿萨姆煎茶奶绿,滞销
108,雀巢咖啡,正常
109,雪力矿泉水,滞销
110,雪碧,正常
111,雪碧330ml,正常
112,雪碧最新款,正常
113,雪碧（500ml）,正常
